00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
01889	VEGFA	NP_001020537.2	Atherosclerosis, susceptibility to	15937083,15732116
01891	AVP	NP_000481.2	Diabetes insipidus, familial central, autosomal recessive	10369876,15356057
01891	AVP	NP_000481.2	Diabetes insipidus, familial central	1840604,1740104,8945633,8514868,8370682,8370681,3390991,10443701,8103767,11836335,7714110,14660745,8550751,8626836,8989232,9467595,9360520,10487710,9580132,9814475,11017955,11443218,12107248,15356057,14673472,15070970
01895	VLDLR	NP_003374.3	Cerebellar hypoplasia, VLDLR-associated	16080122
01905	VHL	NP_000542.1	Polycythemia, Chuvash type	10364675,12415268,9399847,12393546,14604959,14726398,15642664,16210343,12702509
01905	VHL	NP_000542.1	Renal cell carcinoma with paraneoplastic erythrocytosis	11986208
01905	VHL	NP_000542.1	Erythrocytosis, familial, 2	12393546,12844285
01905	VHL	NP_000542.1	Hemangioblastoma, sporadic cerebellar	7784063,8069849,8634692
01905	VHL	NP_000542.1	Renal cell carcinoma	7784063,8493574
01905	VHL	NP_000542.1	Von Hippel-Lindau syndrome	7784063,8493574,8270255,9156047,8592333,8956040,12000816,7987327,8522307,1673491,7759077,7728151,9880225,11709017,11483638,13985160,8550742,7563486,12414898,12844285,10533030,8863170
01905	VHL	NP_000542.1	Pheochromocytoma	9663592,12000816
01906	VWF	NP_000543.2	Von Willebrand disease, type III	1301136,8367445
01906	VWF	NP_000543.2	Von Willebrand disease, type I	1581215,8839833,11698279,12649144
01906	VWF	NP_000543.2	Von Willebrand factor polymorphism	1672694
01906	VWF	NP_000543.2	Von Willebrand disease, type IIA	1673047,2786201,2385594,2010538,1419804,8435341
01906	VWF	NP_000543.2	Von Willebrand factor Normandy 3	1832934
01906	VWF	NP_000543.2	Von Willebrand factor Normandy 2	1832934
01906	VWF	NP_000543.2	Von Willebrand factor Normandy 1	1906179,8500791
01906	VWF	NP_000543.2	Von Willebrand disease, type IIB	3132965,2011604,2010538,1672694,1419803,1729889,6426499,2557900,1409710,8865541
01906	VWF	NP_000543.2	Von Willebrand disease, type IIM	3257148,9253800,8456430
01906	VWF	NP_000543.2	Von Willebrand disease, type IIC	7789955,9569179,6982283
01906	VWF	NP_000543.2	Von Willebrand disease, type IID	8622978
01908	XBP1	BAB82982.1	Bipolar disorder, susceptibility to	12949534
01940	ACADVL	NP_000009.1	VLCAD deficiency	7668252,7479827,8554073,9546340,10790204,9709714,11158518
01941	HSD3B2	NP_000189.1	3-@beta-hydroxysteroid dehydrogenase, type II, deficiency of	1363812,295036,1682237,8284113,10843183,12050213,10599696,10770215
01942	CYP21A2	NP_000491.2	Hyperandrogenism, nonclassic type, due to 21-hydroxylase deficiency	12050257
01942	CYP21A2	NP_000491.2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, salt-wasting type	1496017,3260033,2827462,12788880,2845408,2249999,8518786,3267225,12220458,9067760,15623806
01942	CYP21A2	NP_000491.2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, late-onset form	1496017,8081391,1406699,8989258
01942	CYP21A2	NP_000491.2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency	2845408,2325662,1985465,8081391,5804199,7096533,1644925,7635470,8968761,12788880,12915679,10443693,11093272,7629224
01942	CYP21A2	NP_000491.2	21-@hydroxylase polymorphism	3038528,1864962
01942	CYP21A2	NP_000491.2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, classic type	3257825,2303461,1937474,1496017,1644925,8175971,8081391,9215318,11600539,8731325,10229037,11739456,12213891
01942	CYP21A2	NP_000491.2	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency, nonclassic type	3260007,2788081,1985465,1496017,7635470,8081391,9661649,2072928,9215318,1406699,1406709
01943	CYP11B1	NP_000488.3	Glucocorticoid-remediable aldosteronism	1731223,15324322
01943	CYP11B1	NP_000488.3	Adrenal hyperplasia, congenital, due to steroid 11-beta-hydroxylase deficiency	2022736,7049883,1430088,7903314,9302260,11095433,11549691,15324322
01944	CYP17A1	NP_000093.1	17-@alpha-hydroxylase/17,20-lyase deficiency, combined partial	2808364,8855840,1740503,16121340,7629254,12466376,15713706
01944	CYP17A1	NP_000093.1	17-@alpha-hydroxylase/17,20-lyase deficiency, combined complete	2843762,2786493,1577471,2335573,1714904,1621662,1665206,8550762,14671162,9177409,6976525,9435441,11836339,12466376,14715827
01944	CYP17A1	NP_000093.1	17,20-@lyase deficiency, isolated	9326943,12466376,9360545,10720067,11549685
01945	OCA2	NP_000266.2	Eye color, blue/nonblue	15889046,17236130
01945	OCA2	NP_000266.2	Albinism, ocular, autosomal recessive	8302318
01945	OCA2	NP_000266.2	Albinism, oculocutaneous, type II	8421497,11179026,8302318,1773534,10649493,12469324,12876664
01946	ACAT1	NP_000010.1	3-@ketothiolase deficiency	1715688,1627655,7173255,4690360,8103405,7907600,1373235,9700610,9744475
01947	ARG1	NP_000036.2	Argininemia	2365823,1598908,1463019,7649538,3658675,10502833
01948	ASL	NP_000039.2	Argininosuccinic aciduria	2263616,12384776,12408190
01949	AGA	NP_000018.1	Aspartylglucosaminuria, Finnish type	1765378,1864600,1904874
01949	AGA	NP_000018.1	Aspartylglucosaminuria	1765378,6883788,8776587
01950	BBS1	NP_078925.3	Bardet-Biedl syndrome 1	12118255,12524598,12677556,15314642,12837689
01950	BBS1	NP_078925.3	Bardet-Biedl syndrome 7	12567324
01951	MCCC1	NP_064551.3	3-@methylcrotonyl-CoA carboxylase 1 deficiency	11170888,10485305,11181649,15359379,11406611
01952	MCCC2	NP_071415.1	3-@methylcrotonyl-CoA carboxylase 2 deficiency	9544913,11170888,11181649,1293382,7128647,11406611,8598650
01953	SLC25A20	NP_000378.1	Carnitine-acylcarnitine translocase deficiency	9399886,9686371,10384384,10697964,1598097,12859414
01955	CFI	NP_000195.2	Complement factor I deficiency	8613545
01956	C6	NP_000056.2	C6 deficiency, subtotal	7535801,8871666
01956	C6	NP_000056.2	C6 A/B polymorphism	8518798,2789218,2808363
01956	C6	NP_000056.2	C6 deficiency, total	9856498,9472666,8690922
01957	C7	NP_000578.2	C7 deficiency	8892662,8871666,16771861,9218625,15554930
01958	HSD11B2	NP_000187.3	Apparent mineralocorticoid excess, hypertension due to	7670488,3860318,9851783,7608290,7593456,9398712,9683587,12788846,15126515
01958	HSD11B2	NP_000187.3	Hypertension, mild low-renin	9707624,10536001,11238516
01960	DPYS	NP_001376.1	Dihydropyrimidinuria	9718352
01961	BPGM	NP_001715.1	Bisphosphoglyceromutase deficiency, hemolytic anemia due to	2542247,152321,1421379
01962	SI	NP_001032.2	Sucrase-isomaltase deficiency, congenital	8609217,10903344,11340066,14724820,16329100
01963	DBH	NP_000778.3	DOPAmine beta-hydroxylase activity, plasma	11170900,14991826,15505174
01963	DBH	NP_000778.3	DOPAmine beta-hydroxylase deficiency	11857564
01964	F5	NP_000121.2	Factor V deficiency, hemorrhagic diathesis due to	11435304,10942390,9488630
01964	F5	NP_000121.2	Factor V deficiency, severe	11564077,11781258,12393490
01964	F5	NP_000121.2	Thrombophilia due to deficiency of cofactor for activated protein c, liverpool type	14617013,14695241
01964	F5	NP_000121.2	Thrombophilia due to deficiency of cofactor for activated protein c, Leiden type	8164741,8164730,7910348,7911872,7911873,7969326,7989612,7803250,7877648,7586244,8049422,7562967,7795227,10477778,10507841,8566967,10066036,8616100,8627449,8822583,9010145,9462312,10444192,9207293,9245936,9734642,10328130,16707754,9415695,9372726,9518910,9454741,9577282,9459326,9878639,10348711,10233439,10666427,10666435,11018168,11110695,11431707,12869495,14996674,15293282,15534175,16493002,11686338
01964	F5	NP_000121.2	Thrombophilia	9454741,9746807
01964	F5	NP_000121.2	Factor V Cambridge	9454742
01964	F5	NP_000121.2	Factor V deficiency	9576178,10494770
01965	F7	NP_000122.1	Myocardial infarction, decreased susceptibility to	10984565
01965	F7	NP_000122.1	Factor VII deficiency	1634227,8364544,8652821,8883260,9414278,9576180,7981691,10862079,7919338,8978290,9716591,11110717,11091194,11529858,12472587,8940045
01965	F7	NP_000122.1	Factor VII Harrow	2070047,1634227,6812354
01965	F7	NP_000122.1	Factor VII Mie	7974346
01965	F7	NP_000122.1	Factor VII deficiency, lethal	9680360
01966	F10	NP_000495.1	Factor X Tokyo	10468877
01966	F10	NP_000495.1	Factor X deficiency, autosomal dominant	10746568,2943217,9399854
01966	F10	NP_000495.1	Factor X Santo Domingo	1939653,8449937
01966	F10	NP_000495.1	Factor X Vorarlberg	1973167
01966	F10	NP_000495.1	Factor X Friuli	1985698
01966	F10	NP_000495.1	Factor X San Antonio-2	2790181
01966	F10	NP_000495.1	Factor X San Antonio-1	2790181
01966	F10	NP_000495.1	Factor X deficiency	7669671,10746568,9198147,8845463
01966	F10	NP_000495.1	Factor X Stockton	8845463,10746568
01966	F10	NP_000495.1	Factor X St. Louis-2	8910490
01967	FANCC	NP_000127.2	Fanconi anemia, complementation group C	1574115,8499901,8613549,8348157,8081385,7492758,11427142,8103176,8829660
01967	FANCC	NP_000127.2	Fanconi anemia, complemementation group C	8639804,11520787,10431244
01968	FANCD2	NP_149075.2	Fanconi anemia, complementation group D2	11239453
01969	ASAH1	NP_004306.3	Farber lipogranulomatosis	8955159,10610716,11241842,16951918
01970	KNG1	NP_001095886.1	Kininogen deficiency, total	1202089,7901207
01970	KNG1	NP_001095886.1	High molecular weight kininogen deficiency	12576314
01970	KNG1	NP_001095886.1	Fitzgerald trait	12576314,12780784
01971	KLKB1	NP_000883.2	Prekallikrein deficiency	15461630
01972	ALDOB	NP_000026.2	Fructose intolerance	3383242,2623136,1967768,8096362,11757579,2339710,2203259,1856829,1928090,8071980,10352930,7717389
01973	FBP1	NP_000498.2	Fructose-1,6-bisphosphatase deficiency	7763253,9382095
01974	FUCA1	NP_000138.2	Fucosidosis	2642067,2012122,1281988,8097260,8401503,9762612
01974	FUCA1	NP_000138.2	Fu1/Fu2 polymorphism	7815431
01975	GLB1	NP_000395.2	GM1 gangliosidosis, late infantile type	12644936
01975	GLB1	NP_000395.2	GM1-gangliosidosis, late infantile/juvenile type	1909089,1907800
01975	GLB1	NP_000395.2	GM1-gangliosidosis, adult/chronic type	1909089,1907800,1353343,8198123,6791574
01975	GLB1	NP_000395.2	GM1-gangliosidosis, infantile type	1909089,1907800,1606711,8199591
01975	GLB1	NP_000395.2	Morquio syndrome, type B	1928092,11511921,1487238,8500799,7586649,10841810
01975	GLB1	NP_000395.2	GM1 gangliosidosis, infantile type	8213816,10841810
01976	GP1BA	NP_000164.4	Bernard-Soulier syndrome, type A, autosomal dominant	1730088
01976	GP1BA	NP_000164.4	Von Willebrand disease, platelet-type	2052556,8486780,8384898
01976	GP1BA	NP_000164.4	Bernard-Soulier syndrome, type A	2308962,7690774,11222377,9233564,8772211
01976	GP1BA	NP_000164.4	Platelet glycoprotein ib polymorphism	6235867,1693792,3303030,14711733
01977	GCDH	NP_000150.1	Glutaric acidemia I	8541831,8900227,8900228,10699052,11174631,7795610
01978	ETFDH	NP_004444.2	Glutaric acidemia IIC	12815589,7173259,7173260
01979	ETFA	NP_000117.1	Glutaric aciduria IIA	1882842,1430199,12815589
01981	PCCA	NP_000273.2	Propionic acidemia	9385377,6790853,15235904,9887338,10101253
01982	PCCB	NP_000523.2	Propionic acidemia	8411997,2154743,10502773,8225321,9683601,8295402,10820128,12189489
01983	G6PC	NP_000142.1	Glycogen storage disease IA	8211187,7573034,8182131,2172641,7814621,9332655,7668282,8163185,10748407,8733042,10960498,9001800
01985	GBE1	NP_000149.3	Glycogen storage disease IV, fatal perinatal neuromuscular	10384399,15452297
01985	GBE1	NP_000149.3	Glycogen storage disease IV, combined hepatic and myopathic	10545044,15452297,10762170
01985	GBE1	NP_000149.3	Glycogen storage disease IV, childhood neuromuscular	15452297
01985	GBE1	NP_000149.3	Glycogen storage disease IV, congenital neuromuscular	8059607,8613547,15019703,15452297
01985	GBE1	NP_000149.3	Glycogen storage disease IV, classic hepatic	8613547,10762170,15452297
01985	GBE1	NP_000149.3	Glycogen storage disease IV, nonprogressive hepatic	8613547,9851430
01986	PYGM	NP_005600.1	Mcardle disease	8316268,1067063,3476861,2391551,8401511,9506549,11168025,7951262,8535454,9152836,2703328,8279469,10450796,10681080,14638972
01987	PYGL	NP_002854.3	Glycogen storage disease VI	9529348,9536091
01988	PFKM	NP_000280.1	Glycogen storage disease VII	14339001,2140573,1833270,7513946,9443500,8037209,8444874,9389749,8880699,7479776,8889589
01989	CYBA	NP_000092.2	Granulomatous disease, chronic, autosomal recessive, cytochrome B-negative	2243141,4384563,3571224,1415254,1763037,10759707,12073015
01989	CYBA	NP_000092.2	Cyba polymorphism 242c-t	3368442,9445163,10440830
01991	NCF2	NP_000424.2	Granulomatous disease, chronic, autosomal recessive, cytochrome B-positive, type II	7795241,9070911,10498624,10598813
01993	HFE	NP_000401.1	Porphyria variegata	10401000
01993	HFE	NP_000401.1	HFE polymorphism	10401000
01993	HFE	NP_000401.1	HFE intronic polymorphism	10431233,8696333,10545944
01993	HFE	NP_000401.1	Hemochromatosis	8696333,8896549,8896550,9341868,9462220,9162021,9356458,9439654,9321765,9211748,9138148,9024376,9585606,10431233,10401000,10381492,11812557,12241803,12436244,12429850,12915468,14729817,678784,14618419,15060098,15070663,16879202,9326341,9106528,11358905,11904676,14673107,10194428,15965644
01994	CBS	NP_000062.1	Thrombosis, hyperhomocysteinemic	10780316,12007221
01994	CBS	NP_000062.1	Homocystinuria, pyridoxine-responsive	7506602,1301198,7611293,8554066,10364517,8940271,7762555,9813456,14635102,8990018,9361025,8940285,7564249,8755636,14722619,11230183
01994	CBS	NP_000062.1	Homocystinuria	7506602,7581402,8353501,14635102,16479318
01995	CPS1	NP_001116105.1	Pulmonary hypertension, familial persistent, of the newborn, susceptibility to	11407344,14718356,15465784
01995	CPS1	NP_001116105.1	Carbamoyl phosphate synthetase i deficiency	8486760,9711878,11474210
01996	GLDC	NP_000161.2	Glycine encephalopathy	445864,1634607,10798358,15236413,15864413,15824356,15851735
01997	AMT	NP_000472.2	Glycine encephalopathy	8005589,9600239,9621520
01998	GCSH	NP_004474.2	Glycine encephalopathy	1671321,6790577
02000	NAT2	NP_000006.2	Acetylation, slow	2068113,16416399,10667461,12351146,8807666,6721992,1968463,8460648,8102597,9156695
02001	OXCT1	NP_000427.1	Succinyl-CoA:3-oxoacid coa transferase deficiency	1405472,8751852,9671268,10964512,9392403
02002	PDHX	NP_003468.2	Pyruvate dehydrogenase e3-binding protein deficiency	8584393,9399911,8229524,9467010,11935326,12557299
02003	HMGCL	NP_000182.2	HMG-CoA lyase deficiency	8440722,8617516,1588014,3128690,1886403,9463337,11129331
02006	DLD	NP_000099.2	Maple syrup urine disease, type III	3769994,8506365,8968745,9298831,9934985,12925875,11687750
02007	MAN2B1	NP_000519.2	Alpha-mannosidosis, type II	9158146,724292,9758606,9370301,4358183,9915946
02007	MAN2B1	NP_000519.2	Alpha-mannosidosis, type I	9758606
02008	MANBA	NP_005899.3	beta-mannosidosis	2079835,9384606,12890191,16401745
02009	BCKDHA	NP_000700.1	Maple syrup urine disease, classic, type IA	2703538,1943689,8037208,2241958,2060625,1885764,1356170
02009	BCKDHA	NP_000700.1	Maple syrup urine disease, intermediate, type IA	7883996
02010	DBT	NP_001909.2	Maple syrup urine disease, thiamine-responsive, type II	1847055,1943690
02010	DBT	NP_001909.2	Maple syrup urine disease, classic, type II	1990841,2010537,8430702,14508502
02010	DBT	NP_001909.2	Maple syrup urine disease, intermediate, type II	9621512
02011	BCKDHB	NP_000047.1	Maple syrup urine disease, classic, type IB	2022752,11509994
02012	MEFV	NP_000234.1	Familial Mediterranean fever, autosomal dominant	10787449,14679589
02012	MEFV	NP_000234.1	Familial mediterranean fever	9288758,9288094,9781020,10364520,11464248,10090880,9668175,7677151,11903360,11242116
02014	MUT	NP_000246.2	Methylmalonic aciduria, mut(-) type	1968706,1346616,1351030,16281286,7951229
02014	MUT	NP_000246.2	Methylmalonic aciduria, mut(0) type	2881300,1968706,1977311,1670635,8990001,7909321,11528502,15643616,16281286,16451139
02015	MVK	NP_000422.1	Hyper-IgD syndrome	10369261,10369262,11313768,11313769,15536479,10401001
02015	MVK	NP_000422.1	Mevalonic aciduria	1377680,10401001,15536479
02016	IDUA	NP_000194.2	Hurler syndrome	1505961,4221470,11735025,10738517,8328452,6821579,8477267,8213840,7951228,8664897,15521993
02016	IDUA	NP_000194.2	Scheie syndrome	4221470,8477267,1505961,2522450,2170400,1550122,1883197,8213840,7550232
02016	IDUA	NP_000194.2	Hurler-Scheie syndrome	7550232,8328452,8664897,8213840,10466419,9391892,10735634,15521993
02016	IDUA	NP_000194.2	Idua pseudodeficiency	8554071
02017	NAGLU	NP_000254.2	Mucopolysaccharidosis type IIIb	8650226,10094189,11068184,12202988,15933803
02018	GUSB	NP_000172.2	Mucopolysaccharidosis type VII	1702266,1833732,8111412,6811712,8111413,7633414,9490302,9921904,1992472,7633417,12403825,8089138,12859417,12522561,144057
02020	CTSA	NP_000299.2	Galactosialidosis, late infantile	1756715,3149149,2148053,8968752,9603439,10944848
02020	CTSA	NP_000299.2	Galactosialidosis	8514852
02020	CTSA	NP_000299.2	Galactosialidosis, early infantile	8968752
02021	OAT	NP_000265.1	Gyrate atrophy with pyridoxine-responsive ornithinemia	2893548,8281144,7887415
02021	OAT	NP_000265.1	Gyrate atrophy	3339136,2893548,2793865,2916581,3417397,2220818,1992472,1612597,2565038,1609808,8430317,7668253
02022	UMPS	NP_000364.1	Orotic aciduria	9042911
02023	CA2	NP_000058.1	Carbonic anhydrase II variant	4624444,6817747,6407977
02023	CA2	NP_000058.1	Carbonic anhydrase II deficiency	1928091,8834238,1542674,1301935,7627193,12566520
02024	GIF	NP_005133.2	Intrinsic factor deficiency, hereditary	14576042,15738392
02024	GIF	NP_005133.2	Intrinsic factor deficiency, congenital, susceptibility to	14695536,15738392
02025	QDPR	NP_000311.2	Dihydropteridine reductase deficiency	2116088,8326489,9341885,9744478,11153907
02027	PGAM2	NP_000281.2	Myopathy due to deficiency of muscle phosphoglycerate mutase	8447317,6308514,2987758,2300252,10545043
02029	SERPINF2	NP_000925.2	Alpha-2-plasmin inhibitor deficiency	7095605,2496145,156196,2572590,10583218
02030	ACOX1	NP_004026.2	Peroxisomal acyl-CoA oxidase deficiency	2894756,8040306,8279468,11815777
02031	CYP27B1	NP_000776.1	Vitamin D-dependent rickets, type I	9486994,9415400,9837822,10566658,12050193
02032	PC	NP_000911.2	Pyruvate carboxylase deficiency	9585612,9585002,12112657
02033	ASPA	NP_000040.1	Canavan disease	8252036,8037206,7599639,8023850,7668285,8088831,8659549,9887384,10564886,10909858,12638939
02034	GM2A	NP_000396.2	GM2-gangliosidosis, ab variant	1915858,1570834,8244332,8900233,10364519
02036	DPYD	NP_000101.2	5-@fluorouracil toxicity	1648430,9010022
02036	DPYD	NP_000101.2	Dihydropyrimidine dehydrogenase deficiency	7832988,8051923,8698850,8892022,9686374,10071185,9254861,9266349,9439663
02037	TCN2	NP_000346.2	Transcolabamin II deficiency	10518276,14632784
02037	TCN2	NP_000346.2	TCN2 polymorphism	12091374,12707225
02037	TCN2	NP_000346.2	Transcobalamin II deficiency	7849710
02039	PRSS1	NP_002760.1	Pancreatitis, hereditary	8841182,10204851,10909845,11073545,11938439,12413370,16791840,6023921,9322498,10982192,14695529,15776435,17072318
02040	FAH	NP_000128.1	Tyrosinemia, type I	1401056,8364576,8318997,8028615,7757089,8162054,8723698,8829657,11196105
02040	FAH	NP_000128.1	Fumarylacetoacetase pseudodeficiency	7977370
02041	HPD	NP_002141.1	Tyrosinemia, type III	10942115,9343288
02041	HPD	NP_002141.1	Hawkinsinuria	1130176,858207,1519651
02043	MYO7A	NP_000251.3	Deafness, autosomal dominant nonsyndromic sensorineural 11	15221449
02043	MYO7A	NP_000251.3	Usher syndrome, type IB	7870171,8900236,9843659,10094549,10364543,15660226
02043	MYO7A	NP_000251.3	Deafness, neurosensory, autosomal recessive 2	9171832,7951250,9171833
02043	MYO7A	NP_000251.3	Deafness, autosomal dominant nonsyndromic sensorineural 11; DFNA11	9354784
02044	LIPA	NP_000226.2	Wolman disease	8956047
02045	XPA	NP_000371.1	Xeroderma pigmentosum, complementation group A	2234061,1702221,1352672,8541864,1372102,8825598,8105686
02046	XPC	NP_004619.3	Xeroderma pigmentosum, complementation group C	8298653,11121128,11511294,10766188,14662655
02046	XPC	NP_004619.3	Xeroderma pigmentosum, complementation group C, with autism and hypoglycinemia	9804340
02047	MID1	NP_000372.1	Opitz syndrome, X-linked	9354791,11030761,12545276
02050	MECP2	NP_001104262.1	Rett syndrome	10508514,10577905,15557528,9546328,10767337,10814718,10814719,10854091,11896459,16077729,11071498,11022934,11214906,12210319,11313756,12481990,11055898,15034579,15857422,16155192,16630165
02050	MECP2	NP_001104262.1	Rett syndrome, preserved speech variant	10854091
02050	MECP2	NP_001104262.1	Mental retardation, X-linked 16	11007980,11309367,11885030,12325019,10232754,11807877
02050	MECP2	NP_001104262.1	Encephalopathy, nonprogressive, neonatal-onset	11238684,12161600
02050	MECP2	NP_001104262.1	Angelman syndrome	11283202,10508514
02050	MECP2	NP_001104262.1	Mental retardation, X-linked, with progressive spasticity	9377804,10986043,16080119
02053	CLCN5	NP_001121370.1	Hypophosphatemic rickets, X-linked recessive	7915957,8559248,9187673
02053	CLCN5	NP_001121370.1	Dent disease 1	8559248,9062355,9259268,14569459,16041495,16247550
02053	CLCN5	NP_001121370.1	Nephrolithiasis, X-linked recessive	8559248,9602200
02053	CLCN5	NP_001121370.1	Proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis	9062355
02054	ATP7A	NP_000043.3	Menkes disease, copper-replacement responsive	12676902
02054	ATP7A	NP_000043.3	Menkes disease, mild	7842019
02054	ATP7A	NP_000043.3	Cutis laxa, X-linked	8149649,7842019,9246006,8981948,10739752,9880610,11431706
02054	ATP7A	NP_000043.3	Menkes disease	9894833,10739752,12221109,14635105,16826513
02060	FLNA	NP_001104026.1	Frontometaphyseal dysplasia/otopalatodigital syndrome type 1	16596676
02060	FLNA	NP_001104026.1	Otopalatodigital syndrome, type II	12612583
02060	FLNA	NP_001104026.1	Melnick-needles syndrome	12612583,16538226
02060	FLNA	NP_001104026.1	Otopalatodigital syndrome, type I	12612583,16538226
02060	FLNA	NP_001104026.1	Frontometaphyseal dysplasia	12612583,9071288
02060	FLNA	NP_001104026.1	Heterotopia, periventricular, with frontometaphyseal dysplasia	14988809
02060	FLNA	NP_001104026.1	Heterotopia, periventricular, Ehlers-Danlos variant	15668422,15994863
02060	FLNA	NP_001104026.1	Heterotopia, periventricular/cerebrofrontofacial syndrome	16299064
02060	FLNA	NP_001104026.1	Heterotopia, periventricular	8290091,9883725,3658675,11532987,11914408
02060	FLNA	NP_001104026.1	Intestinal pseudoobstruction, neuronal, chronic idiopathic, X-linked	8644737,17357080
02069	ATRX	NP_000480.2	Alpha-thalassemia myelodysplasia syndrome, somatic	12858175
02069	ATRX	NP_000480.2	Mental retardation-hypotonic facies syndrome, X-linked	6682021,8630485,9043863,10751095,1684092,10632111,15591283,15508018,3239563,15565397,10398234,6711605,11050622
02069	ATRX	NP_000480.2	Alpha-thalassemia/mental retardation syndrome, X-linked	7697714,8644709,7506096,9244431,3658675,9598720,10417298,10995512,12116232
02071	AGTR2	NP_000677.2	Mental retardation, X-linked 88	12089445,14598163,14722754
02072	EFNB1	NP_004420.1	Craniofrontonasal syndrome	15124102,15166289,16685650
02073	SLC6A8	NP_005620.1	Creatine deficiency syndrome, X-linked	11326334,11898126,12210795,15154114,16086185
02074	GPC3	NP_004475.1	Wilms tumor, somatic	12085187
02074	GPC3	NP_004475.1	Simpson-Golabi-Behmel syndrome, type 1	9950367,10814714
02076	POU3F4	NP_000298.2	Deafness, mixed, with perilymphatic gusher	7839145,1783396,7581392,9298820
02077	SMC1A	NP_006297.2	Cornelia de Lange syndrome 2	16604071,17273969
02085	HCCS	NP_005324.3	Microphthalmia, syndromic, 7	17033964
02092	RPS6KA3	NP_004577.1	Mental retardation, X-linked 19	10319851
02092	RPS6KA3	NP_004577.1	Coffin-Lowry syndrome	8955270,9837815,9887375,10094187,10528858,11992250,12439904,14986828
02094	XIAP	NP_001158.2	Lymphoproliferative syndrome, X-linked, 2	17080092
02106	SLC16A2	NP_006508.1	Allan-Herndon-Dudley syndrome	14661163,15488219,15889350,1605231,8484404,15980113
02107	TSPAN7	NP_004606.2	Mental retardation, X-linked 58	10655063,12376945,10449641,12070254
02110	COL6A2	NP_001840.3	Ullrich congenital muscular dystrophy	11381124,12218063,11506412,16075202
02110	COL6A2	NP_001840.3	Bethlem myopathy	8782832,11865138,9334230
02114	GDI1	NP_001484.1	Mental retardation, X-linked 41	8826463,9620768
02114	GDI1	NP_001484.1	Mental retardation, X-linked 48	9106537,9620768,9668174
02115	SMS	NP_004586.2	Mental retardation, X-linked, Snyder-Robinson type	5823961,14508504
02117	DIAPH2	NP_006720.1	Premature ovarian failure 2A	9070928,8406446
02119	CACNA1F	NP_005174.2	Cone-rod dystrophy, X-linked, 3	12807962,16505158
02119	CACNA1F	NP_005174.2	Night blindness, congenital stationary, X-linked, type 2, severe	15897456
02119	CACNA1F	NP_005174.2	Night blindness, congenital stationary, X-linked, type 2	9662399,9529339,9662400,12719097
02126	MAMLD1	NP_005482.2	Hypospadias	17086185
02127	DCX	NP_000546.2	Subcortical laminar heterotopia/pachygyria, X-linked	10441340
02127	DCX	NP_000546.2	Subcortical laminar heterotopia, X-linked	9489699,9489700,10441340
02127	DCX	NP_000546.2	Lissencephaly, X-linked	9489699,9489700,11468322,12552055
02129	DKC1	NP_001354.1	Hoyeraal-hreidarsson syndrome	10583221,7607282,12437656
02129	DKC1	NP_001354.1	Dyskeratosis congenita, X-linked	9590285,10364516,10700698,10438713,11379875,12137939,9042917,15842668
02130	OPHN1	NP_002538.1	Mental retardation, X-linked, with cerebellar hypoplasia and distinctive facial appearance	9582072,12807966,12805098
02137	ABCB7	NP_004290.2	Anemia, sideroblastic, and spinocerebellar ataxia	4045952,10196363,11050011,11843825
02140	IGBP1	NP_001542.1	Corpus callosum, agenesis of, with mental retardation, ocular coloboma, and micrognathia	14556245
02142	PAK3	NP_001121640.1	Mental retardation, X-linked 30	8826460,9731525,9332663,10946356
02144	XPNPEP2	NP_003390.4	Angioedema induced by ace inhibitors, susceptibility to	16175507
02148	ACTN3	NP_001095.1	Actinin, alpha-3 polymorphism	10192379,11440986,10797427,12879365,15886711
02152	ACSL4	NP_075266.1	Mental retardation, X-linked 63	11889465
02152	ACSL4	NP_075266.1	Mental retardation, X-linked 68	12525535
02162	OFD1	NP_003602.1	Oral-facial-digital syndrome, type I	11179005,9482645,9198060,11950863,15221448
02162	OFD1	NP_003602.1	Simpson-Golabi-Behmel syndrome, type 2	16783569
02171	ARSE	NP_000038.2	Chondrodysplasia punctata 1, X-linked recessive	7720070,2722194,9409863
02177	DLG3	NP_066943.2	Mental retardation, X-linked 90	15185169
02189	TRAPPC2	NP_055378.1	Spondyloepiphyseal dysplasia tarda	10431248,11349230,9990351,10999831,11326333,11424925,12030902,12446987,12919139
02190	CDKL5	NP_003150.1	Rett syndrome, atypical, cdkl5-related	15492925,15499549,15689447,16813600
02190	CDKL5	NP_003150.1	Infantile spasm syndrome, X-linked	16611748
02192	EBP	NP_006570.1	Chondrodysplasia punctata 2, X-linked dominant	10391218,10391219,10942423,11038443,12483303,7677157,1355069
02193	IL1RAPL1	NP_055086.1	Mental retardation, X-linked 21	10471494,8230164
02216	BMP15	NP_005439.2	Ovarian dysgenesis 2	15136966
02216	BMP15	NP_005439.2	Premature ovarian failure 4	16508750
